Case	Method	HPWL	Routed_WL	WNS	TNS	Fmax	Tot_R	CPU
OS24x24_W8	Vivado	245232	385709	-0.29	-273.47	263.71	0.94	355
	RSAD	177188	370829	-0.32	-297.27	261.99	0.73	338
	AMFPlace2.0 + vivado P&R	282005	406932	-3.70	-4584.19	136.91	0.99	527
	DSPlace+vivado P&R	292413	415999	-0.55	-485.23	241.25	1.49	608
	Ours	177441	370419	-0.31	-351.68	262.54	0.73	371
OS32x32_W8	Vivado	494792	713100	-0.58	-1298.78	239.06	1.81	696
	RSAD	356790	662786	-0.89	-2289.01	222.52	1.34	626
	AMFPlace2.0 + vivado P&R	628927	926007	-4.61	-9662.71	121.86	2.09	896
	DSPlace+vivado P&R	543872	823750	-1.73	-4358.38	187.62	2.63	884
	Ours	376203	667613	-0.48	-1455.69	244.92	1.39	687
OS36x32_W8	Vivado	555410	809912	-1.34	-1537.04	202.51	2.07	561
	RSAD	568842	801218	-0.46	-1002.22	246.61	1.85	609
	AMFPlace2.0 + vivado P&R	908625	1185672	-4.98	-12272.79	116.55	2.90	915
	DSPlace+vivado P&R	650782	985788	-1.54	-4260.06	194.67	3.10	1214
	Ours	578173	808002	-0.44	-988.01	247.71	1.88	585
OS40x32_W8	Vivado	690842	914692	-0.74	-1564.21	230.41	2.52	811
	RSAD	448668	819568	-1.44	-2285.96	198.41	1.69	571
	AMFPlace2.0 + vivado P&R	969454	1303124	-4.44	-12776.95	124.35	3.11	1096
	DSPlace+vivado P&R	781080	1148737	-1.94	-6675.55	180.57	3.54	1276
	Ours	475704	837851	-0.49	-1239.85	244.56	1.76	599
OS40x36_W8	Vivado	774885	1029189	-0.59	-1442.15	238.55	2.82	690
	RSAD	540131	945011	-0.45	-1115.90	246.79	2.00	642
	AMFPlace2.0 + vivado P&R	993061	1324968	-4.96	-13466.69	116.89	3.21	1167
	DSPlace+vivado P&R	880601	1290738	-2.17	-7940.15	173.22	4.02	1450
	Ours	539512	946824	-0.39	-1055.06	250.5	2.02	663
OS40x40_W8	Vivado	854961	1138779	-0.39	-39.24	233.26	3.08	720
	RSAD	597408	1050282	-0.18	-22.46	245.34	2.23	693
	AMFPlace2.0 + vivado P&R	1704262	2120069	-6.01	-20995.48	104.01	5.00	1400
	DSPlace+vivado P&R	982803	1419999	-1.83	-6782.90	184.26	4.45	1657
	Ours	593826	1046746	-0.13	-12.35	248.45	2.24	713
OS44x40_W8	Vivado	1167074	1310019	-1.03	-3026.82	215.84	3.94	1053
	RSAD	875596	1230002	-0.53	-1708.49	242.25	2.86	1098
	AMFPlace2.0 + vivado P&R	1009659	1406890	-6.24	-16103.59	101.68	3.51	1472
	DSPlace+vivado P&R	1096855	1597798	-1.94	-8938.83	180.44	4.89	1817
	Ours	892266	1236053	-0.48	-1567.06	244.86	2.90	1089
AVG	Vivado	683314	900200	-0.71	-1311.67	231.91	2.45	698
	RSAD	509232	839957	-0.61	-1245.90	237.70	1.81	654
	AMFPlace2.0 + vivado P&R	927999	1239095	-4.99	-12837.49	117.46	2.97	1068
	DSPlace+vivado P&R	746915	1097544	-1.67	-5634.44	191.72	3.45	1272
	Ours	519018	844787	-0.39	-952.81	249.08	1.85	672
Norm(Avg)	Vivado	131.66%	106.56%	182.35%	137.66%	93.11%	132.97%	103.80%
	RSAD	98.11%	99.43%	156.99%	130.76%	95.43%	98.30%	97.24%
	AMFPlace2.0 + vivado P&R	178.80%	146.68%	1284.41%	1347.32%	47.16%	161.08%	158.76%
	DSPlace+vivado P&R	143.91%	129.92%	429.85%	591.35%	76.97%	186.68%	189.21%
	Ours	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
