# round T HPWL_eq HPWL_w WNS TNS maxL viol_cnt picked w_mean w_std w_cv w_median w_min w_max w_gini w_top10 jump_man jump_euc orient_flip maxEdge_type maxEdge_i maxEdge_j solve_ms feasible avg_jump
1 12 472 472000 -8 52 20 10 1 1000.000000 0.000000 0.000000 1000.000000 1000 1000 0.000000 0.107143 0.000000 0.000000 0 H 0 2 31.100263 0 0.000000
2 12 472 473242 -8 56 20 10 1 1003.696429 38.944292 0.038801 1000.000000 1000 1414 0.003650 0.110431 5.000000 3.535534 1 V 2 0 17.391766 0 5.000000
3 12 474 478676 -8 34 20 8 1 1009.785714 74.749275 0.074025 1000.000000 1000 1682 0.009539 0.115795 8.000000 6.324555 0 V 4 6 16.636613 0 6.500000
4 12 474 483278 -8 33 20 8 1 1017.232143 107.687460 0.105863 1000.000000 1000 1834 0.016552 0.122268 3.000000 2.121320 1 H 6 4 17.470556 0 5.333333
5 12 476 489664 -2 10 14 6 1 1025.401786 136.833871 0.133444 1000.000000 1000 1915 0.024016 0.129261 9.000000 6.708204 0 H 0 1 16.648476 0 6.250000
6 12 476 494098 -3 12 15 6 1 1033.946429 162.461140 0.157127 1000.000000 1000 1957 0.031570 0.136457 3.000000 2.121320 1 V 1 0 16.495779 0 5.600000
7 12 484 501038 -14 57 26 8 1 1042.678571 185.106881 0.177530 1000.000000 1000 1978 0.039024 0.143689 5.000000 3.807887 1 H 0 3 16.833865 0 5.500000
8 12 484 505906 -14 54 26 8 1 1051.508929 205.343788 0.195285 1000.000000 1000 1989 0.046294 0.150880 7.000000 4.949747 1 V 3 0 16.912033 0 5.714286
9 12 485 511980 -10 20 22 6 1 1060.392857 223.632406 0.210896 1000.000000 1000 1995 0.053342 0.157994 1.000000 1.000000 0 V 2 0 16.588232 0 5.125000
10 12 477 519402 -3 10 15 6 1 1069.294643 240.275015 0.224704 1000.000000 1000 1997 0.060140 0.165004 4.000000 2.915476 1 H 0 1 16.333823 0 5.000000
11 12 475 524004 -10 35 22 8 1 1078.214286 255.591626 0.237051 1000.000000 1000 1999 0.066694 0.171911 1.000000 1.000000 0 H 0 2 16.727305 0 4.600000
12 12 479 527684 -3 6 15 3 1 1087.133929 269.746094 0.248126 1000.000000 1000 1999 0.072993 0.178705 10.000000 7.106335 1 V 5 7 16.469799 0 5.090909
13 12 486 533117 -14 52 26 5 1 1096.062500 282.941415 0.258144 1000.000000 1000 2000 0.079052 0.185396 3.000000 2.236068 0 V 3 6 16.831010 0 4.916667
14 12 506 541616 -20 77 32 9 1 1104.991071 295.278334 0.267222 1000.000000 1000 2000 0.084869 0.188633 5.000000 3.807887 1 H 0 4 18.357696 0 4.923077
15 12 482 547096 -3 6 15 3 1 1113.919643 306.860402 0.275478 1000.000000 1000 2000 0.090450 0.189670 8.000000 7.071068 0 H 7 5 16.463839 0 5.142857
16 12 481 551898 -4 18 16 5 1 1122.848214 317.770167 0.283004 1000.000000 1000 2000 0.095799 0.189481 4.000000 2.915476 1 V 4 4 16.649778 0 5.066667
17 12 482 557355 0 0 12 0 0 1131.776786 328.074706 0.289876 1000.000000 1000 2000 0.100924 0.188657 7.000000 5.000000 0 V 1 0 16.267799 1 5.187500
18 12 482 560462 0 0 12 0 0 1137.008929 337.082983 0.296465 1000.000000 1000 2000 0.103879 0.188127 0.000000 0.000000 0 V 1 0 16.277667 1 4.882353
19 12 494 561369 -17 52 29 5 1 1139.848214 342.949762 0.300873 1000.000000 1000 2000 0.105469 0.187830 9.000000 6.519202 1 H 7 3 16.738586 0 5.111111
20 12 482 565143 0 0 12 0 0 1145.026786 346.969545 0.303023 1000.000000 1000 2000 0.108229 0.187067 9.000000 6.519202 1 V 1 0 16.188019 1 5.315789
21 12 485 566219 0 0 12 0 0 1148.178571 351.482097 0.306121 1000.000000 1000 2000 0.109892 0.186592 0.000000 0.000000 0 V 1 0 16.303125 1 5.050000
22 12 485 566601 0 0 12 0 0 1149.919643 354.724444 0.308478 1000.000000 1000 2000 0.110806 0.186333 0.000000 0.000000 0 V 1 0 16.431757 1 4.809524
23 12 485 566797 0 0 12 0 0 1150.839286 356.659891 0.309913 1000.000000 1000 2000 0.111287 0.186192 0.000000 0.000000 0 V 1 0 16.550261 1 4.590909
24 12 485 566904 0 0 12 0 0 1151.312500 357.715870 0.310703 1000.000000 1000 2000 0.111534 0.186123 0.000000 0.000000 0 V 1 0 16.257229 1 4.391304
25 12 495 566951 -2 5 14 3 1 1151.544643 358.248813 0.311103 1000.000000 1000 2000 0.111655 0.186085 3.000000 3.000000 0 V 4 0 17.267723 0 4.333333
26 12 485 570292 0 0 12 0 0 1155.366071 359.091040 0.310803 1000.000000 1000 2000 0.113562 0.185470 3.000000 3.000000 0 V 1 0 16.107095 1 4.280000
