# T_prime evolution (M=16, H=8, T=12, rounds=150)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,12,20,,,0,1040,1040000,401.185,,,,
round,2,16,12,20,,,0,1040,66560000,425.628,,,,
round,3,16,12,20,,,0,1040,66560000,430.414,,,,
round,4,16,12,20,,,0,1040,66560000,444.092,,,,
round,5,16,12,20,,,0,1040,66560000,459.992,,,,
round,6,16,12,20,,,0,1040,66560000,424.75,,,,
round,7,16,12,20,,,0,1040,66560000,436.621,,,,
round,8,16,12,20,,,0,1040,66560000,435.358,,,,
round,9,16,12,20,,,0,1040,66560000,425.895,,,,
round,10,16,12,20,,,0,1040,66560000,428.905,,,,
round,11,16,12,20,,,0,1040,66560000,504.588,,,,
round,12,16,12,20,,,0,1040,66560000,440.484,,,,
round,13,16,12,20,,,0,1040,66560000,503.215,,,,
round,14,16,12,20,,,0,1040,66560000,423.255,,,,
round,15,16,12,20,,,0,1040,66560000,421.841,,,,
round,16,16,12,20,,,0,1040,66560000,426.139,,,,
round,17,16,12,20,,,0,1040,66560000,543.833,,,,
round,18,16,12,20,,,0,1040,66560000,500.551,,,,
round,19,16,12,20,,,0,1040,66560000,420.888,,,,
round,20,16,12,20,,,0,1040,66560000,447.97,,,,
round,21,16,12,20,,,0,1040,66560000,414.859,,,,
round,22,16,12,20,,,0,1040,66560000,437.774,,,,
round,23,16,12,20,,,0,1040,66560000,425.415,,,,
round,24,16,12,20,,,0,1040,66560000,426.101,,,,
round,25,16,12,20,,,0,1040,66560000,422.418,,,,
round,26,16,12,20,,,0,1040,66560000,414.889,,,,
round,27,16,12,20,,,0,1040,66560000,434.849,,,,
round,28,16,12,20,,,0,1040,66560000,416.656,,,,
round,29,16,12,20,,,0,1040,66560000,441.606,,,,
round,30,16,12,20,,,0,1040,66560000,416.323,,,,
round,31,16,12,20,,,0,1040,66560000,424.867,,,,
round,32,16,12,20,,,0,1040,66560000,427.671,,,,
round,33,16,12,20,,,0,1040,66560000,423.49,,,,
round,34,16,12,20,,,0,1040,66560000,429.809,,,,
round,35,16,12,20,,,0,1040,66560000,421.439,,,,
round,36,16,12,20,,,0,1040,66560000,447.891,,,,
round,37,16,12,20,,,0,1040,66560000,422.558,,,,
round,38,16,12,20,,,0,1040,66560000,425.422,,,,
round,39,16,12,20,,,0,1040,66560000,420.999,,,,
round,40,16,12,20,,,0,1040,66560000,423.465,,,,
round,41,16,12,20,,,0,1040,66560000,433.501,,,,
round,42,16,12,20,,,0,1040,66560000,419.182,,,,
round,43,16,12,20,,,0,1040,66560000,417.675,,,,
round,44,16,12,20,,,0,1040,66560000,448.406,,,,
round,45,16,12,20,,,0,1040,66560000,420.164,,,,
round,46,16,12,20,,,0,1040,66560000,474.253,,,,
round,47,16,12,20,,,0,1040,66560000,419.989,,,,
round,48,16,12,20,,,0,1040,66560000,425.663,,,,
round,49,16,12,20,,,0,1040,66560000,452.989,,,,
round,50,16,12,20,,,0,1040,66560000,453.712,,,,
round,51,16,12,20,,,0,1040,66560000,417.619,,,,
round,52,16,12,20,,,0,1040,66560000,417.735,,,,
round,53,16,12,20,,,0,1040,66560000,418.704,,,,
