# T_prime evolution (M=16, H=8, T=12, rounds=150)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,12,20,,,6,1040,1040000,433.975,,,,
round,2,16,12,27,,,9,1060,1064800,423.857,,,,
round,3,16,12,34,,,5,1084,1122400,434.847,,,,
round,4,16,12,22,,,6,1089,1169400,448.922,,,,
round,5,16,12,48,,,6,1159,1219600,471.549,,,,
round,6,16,12,33,,,8,1151,1319900,447.59,,,,
round,7,16,12,46,,,12,1252,1405600,464.769,,,,
round,8,16,12,38,,,12,1175,1557800,502.711,,,,
round,9,16,12,69,,,16,1419,1743000,509.516,,,,
round,10,16,12,53,,,14,1384,2010700,502.646,,,,
round,11,16,12,34,,,12,1207,2238400,440.271,,,,
round,12,16,12,82,,,34,1810,2431000,521.679,,,,
round,13,16,12,38,,,12,1291,2914000,472.848,,,,
round,14,16,12,38,,,12,1276,3185200,453.319,,,,
round,15,16,12,48,,,20,1341,3377400,500.238,,,,
round,16,16,12,48,,,15,1339,3675100,492.643,,,,
round,17,16,12,61,,,13,1359,4109700,474.588,,,,
round,18,16,12,78,,,22,1626,4384500,542.574,,,,
round,19,16,12,29,,,19,1236,4791300,469.455,,,,
round,20,16,12,25,,,18,1211,4992800,486.588,,,,
round,21,16,12,27,,,15,1202,5203400,453.582,,,,
round,22,16,12,19,,,5,1151,5388500,432.008,,,,
round,23,16,12,18,,,2,1150,5436100,440.141,,,,
round,24,16,12,18,,,1,1147,5451400,471.959,,,,
round,25,16,12,16,,,0,1137,5459700,458.528,,,,
tighten,25,,,,,,,,,16,13,,15
round,26,13,12,16,,,12,1137,5459700,460.105,,,,
round,27,13,12,20,,,13,1181,5568500,458.206,,,,
round,28,13,12,20,,,17,1165,5662900,465.267,,,,
round,29,13,12,20,,,25,1184,5771600,463.581,,,,
round,30,13,12,26,,,8,1171,5938600,468.353,,,,
round,31,13,12,36,,,12,1252,6039100,465.278,,,,
round,32,13,12,17,,,9,1109,6392900,443.602,,,,
round,33,13,12,20,,,9,1123,6488800,440.332,,,,
round,34,13,12,15,,,9,1097,6570500,429.19,,,,
round,35,13,12,15,,,7,1094,6612800,446.693,,,,
round,36,13,12,21,,,6,1107,6634200,440.953,,,,
round,37,13,12,22,,,8,1116,6696900,439.906,,,,
round,38,13,12,15,,,1,1100,6792200,440.527,,,,
round,39,13,12,15,,,1,1100,6801200,452.157,,,,
round,40,13,12,15,,,1,1100,6810200,448.265,,,,
round,41,13,12,15,,,1,1100,6819200,425.439,,,,
round,42,13,12,22,,,4,1122,6819900,457.916,,,,
round,43,13,12,67,,,25,1685,6831200,516.226,,,,
round,44,13,12,23,,,12,1095,7256100,469.862,,,,
round,45,13,12,24,,,23,1180,7353100,451.764,,,,
round,46,13,12,19,,,3,1107,7581900,437.419,,,,
round,47,13,12,12,,,0,1088,7607000,429.694,,,,
