# T_prime evolution (M=16, H=8, T=12, rounds=150)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,12,20,,,6,1040,1040000,405.961,,,,
round,2,16,12,18,,,6,1040,1041332,429.737,,,,
round,3,16,12,18,,,6,1040,1043528,442.043,,,,
round,4,16,12,18,,,3,1042,1046626,447.744,,,,
round,5,16,12,15,,,0,1044,1047816,445.961,,,,
tighten,5,,,,,,,,,16,12,,15
round,6,12,12,15,,,6,1044,1047816,439.494,,,,
round,7,12,12,18,,,8,1042,1048520,441.517,,,,
round,8,12,12,18,,,8,1042,1050373,449.334,,,,
round,9,12,12,14,,,6,1044,1052533,441.439,,,,
round,10,12,12,18,,,8,1042,1054274,429.605,,,,
round,11,12,12,20,,,8,1042,1057023,427.624,,,,
round,12,12,12,26,,,10,1058,1060937,432.185,,,,
round,13,12,12,14,,,6,1044,1064721,429.383,,,,
round,14,12,12,20,,,10,1040,1066679,654.399,,,,
round,15,12,12,26,,,10,1058,1071173,423.288,,,,
round,16,12,12,14,,,6,1044,1078735,430.155,,,,
round,17,12,12,14,,,6,1044,1082323,407.797,,,,
round,18,12,12,20,,,10,1040,1084831,420.074,,,,
round,19,12,12,26,,,10,1058,1089516,414.089,,,,
round,20,12,12,14,,,6,1044,1100189,741.233,,,,
round,21,12,12,14,,,6,1044,1104704,414.137,,,,
round,22,12,12,32,,,11,1069,1106881,430.8,,,,
round,23,12,12,32,,,11,1069,1111911,436.712,,,,
round,24,12,12,26,,,10,1058,1117435,435.382,,,,
round,25,12,12,32,,,12,1098,1125073,443.149,,,,
round,26,12,12,14,,,6,1044,1136327,418.77,,,,
round,27,12,12,14,,,6,1044,1140858,471.053,,,,
round,28,12,12,20,,,10,1040,1143798,418.325,,,,
round,29,12,12,26,,,10,1058,1151688,431.371,,,,
round,30,12,12,32,,,12,1096,1154290,448.154,,,,
round,31,12,12,13,,,6,1046,1169487,438.163,,,,
round,32,12,12,13,,,6,1046,1173868,430.999,,,,
round,33,12,12,20,,,6,1046,1176842,425.939,,,,
round,34,12,12,20,,,6,1046,1182104,432.338,,,,
round,35,12,12,38,,,14,1156,1184763,443.782,,,,
round,36,12,12,32,,,12,1096,1192097,423.919,,,,
round,37,12,12,26,,,8,1066,1202104,448.319,,,,
round,38,12,12,38,,,14,1160,1206811,466.978,,,,
round,39,12,12,20,,,6,1046,1217341,500.697,,,,
round,40,12,12,13,,,3,1048,1222055,449.439,,,,
round,41,12,12,12,,,0,1050,1223741,459.643,,,,
