M,H,K,h_prime,T,rounds_total,total_runtime_sec,last_round,last_maxL,last_HPWL_eq,last_HPWL_w,last_WNS_T,meet_T,first_meet_T_round,tighten_steps,final_Tprime,avg_solve_ms,last_solve_ms,last_picked,policy,alpha,eta,gamma,beta,lam,delta,rho,sigma,shrink,cap,scale,dV,pow2,freeze,log_path,placement_path
24,24,4,6,6,150,0,21,6,210,230789,0,YES,21,1,8,4,NA,NA,soft,0.5,0.5,0.4,3.0,2.0,2.0,0.3,0.85,0.92,8,1000,1,1,1,results_24x24_K4_20251123_140507/logs/multicol_24x24_K4_T_6.log,results_24x24_K4_20251123_140507/placement24x24_Col_4_T_6.txt
24,24,4,6,7,150,1,21,6,210,230789,0,YES,21,1,8,5,NA,NA,soft,0.5,0.5,0.4,3.0,2.0,2.0,0.3,0.85,0.92,8,1000,1,1,1,results_24x24_K4_20251123_140507/logs/multicol_24x24_K4_T_7.log,results_24x24_K4_20251123_140507/placement24x24_Col_4_T_7.txt
24,24,4,6,8,150,0,21,6,210,230789,0,YES,21,1,8,5,NA,NA,soft,0.5,0.5,0.4,3.0,2.0,2.0,0.3,0.85,0.92,8,1000,1,1,1,results_24x24_K4_20251123_140507/logs/multicol_24x24_K4_T_8.log,results_24x24_K4_20251123_140507/placement24x24_Col_4_T_8.txt
24,24,4,6,9,150,0,9,9,202,210016,0,YES,9,0,9,6,NA,NA,soft,0.5,0.5,0.4,3.0,2.0,2.0,0.3,0.85,0.92,8,1000,1,1,1,results_24x24_K4_20251123_140507/logs/multicol_24x24_K4_T_9.log,results_24x24_K4_20251123_140507/placement24x24_Col_4_T_9.txt
24,24,4,6,10,150,0,1,10,200,200000,0,YES,1,0,10,10,NA,NA,soft,0.5,0.5,0.4,3.0,2.0,2.0,0.3,0.85,0.92,8,1000,1,1,1,results_24x24_K4_20251123_140507/logs/multicol_24x24_K4_T_10.log,results_24x24_K4_20251123_140507/placement24x24_Col_4_T_10.txt
24,24,4,6,11,150,0,1,10,200,200000,0,YES,1,0,11,9,NA,NA,soft,0.5,0.5,0.4,3.0,2.0,2.0,0.3,0.85,0.92,8,1000,1,1,1,results_24x24_K4_20251123_140507/logs/multicol_24x24_K4_T_11.log,results_24x24_K4_20251123_140507/placement24x24_Col_4_T_11.txt
24,24,4,6,12,150,0,1,10,200,200000,0,YES,1,0,12,9,NA,NA,soft,0.5,0.5,0.4,3.0,2.0,2.0,0.3,0.85,0.92,8,1000,1,1,1,results_24x24_K4_20251123_140507/logs/multicol_24x24_K4_T_12.log,results_24x24_K4_20251123_140507/placement24x24_Col_4_T_12.txt
24,24,4,6,13,150,0,1,10,200,200000,0,YES,1,0,13,10,NA,NA,soft,0.5,0.5,0.4,3.0,2.0,2.0,0.3,0.85,0.92,8,1000,1,1,1,results_24x24_K4_20251123_140507/logs/multicol_24x24_K4_T_13.log,results_24x24_K4_20251123_140507/placement24x24_Col_4_T_13.txt
24,24,4,6,14,150,0,1,10,200,200000,0,YES,1,0,14,19,NA,NA,soft,0.5,0.5,0.4,3.0,2.0,2.0,0.3,0.85,0.92,8,1000,1,1,1,results_24x24_K4_20251123_140507/logs/multicol_24x24_K4_T_14.log,results_24x24_K4_20251123_140507/placement24x24_Col_4_T_14.txt
24,24,4,6,15,150,0,1,10,200,200000,0,YES,1,0,15,9,NA,NA,soft,0.5,0.5,0.4,3.0,2.0,2.0,0.3,0.85,0.92,8,1000,1,1,1,results_24x24_K4_20251123_140507/logs/multicol_24x24_K4_T_15.log,results_24x24_K4_20251123_140507/placement24x24_Col_4_T_15.txt
