M,H,K,h_prime,T,rounds_total,total_runtime_sec,last_round,last_maxL,last_HPWL_eq,last_HPWL_w,last_WNS_T,meet_T,first_meet_T_round,tighten_steps,final_Tprime,avg_solve_ms,last_solve_ms,last_picked,policy,alpha,eta,gamma,beta,lam,delta,rho,sigma,shrink,cap,scale,dV,pow2,freeze,log_path,placement_path
16,16,2,8,8,150,24,55,8,1072,1303231,0,YES,55,2,10,443,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_8.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_8.txt
16,16,2,8,9,150,24,55,8,1072,1303231,0,YES,55,2,10,437,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_9.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_9.txt
16,16,2,8,10,150,25,55,8,1072,1303231,0,YES,55,2,10,442,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_10.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_10.txt
16,16,2,8,11,150,25,57,8,1072,1292240,0,YES,57,2,11,441,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_11.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_11.txt
16,16,2,8,12,150,26,41,12,1050,1223741,0,YES,41,1,12,642,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_12.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_12.txt
16,16,2,8,13,150,16,32,13,1046,1119216,0,YES,32,1,13,479,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_13.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_13.txt
16,16,2,8,14,150,3,7,14,1044,1047984,0,YES,7,1,14,436,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_14.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_14.txt
16,16,2,8,15,150,2,5,15,1044,1047816,0,YES,5,0,16,437,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_15.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_15.txt
16,16,2,8,16,150,2,5,15,1044,1047816,0,YES,5,0,16,424,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_16.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_16.txt
16,16,2,8,17,150,3,7,15,1044,1048328,0,YES,7,0,17,425,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_17.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_17.txt
16,16,2,8,18,150,1,2,18,1040,1040324,0,YES,2,0,18,415,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_18.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_18.txt
16,16,2,8,19,150,1,2,18,1040,1040144,0,YES,2,0,19,404,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_19.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_19.txt
16,16,2,8,20,150,0,1,20,1040,1040000,0,YES,1,0,20,394,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/logs/multicol_16x16_K2_T_20.log,results_multicol_16x16_20251030_221504/K2_16x16_T8-20/placement16_Col_2_T_20.txt
