M,H,K,h_prime,T,rounds_total,total_runtime_sec,last_round,last_maxL,last_HPWL_eq,last_HPWL_w,last_WNS_T,meet_T,first_meet_T_round,tighten_steps,final_Tprime,avg_solve_ms,last_solve_ms,last_picked,policy,alpha,eta,gamma,beta,lam,delta,rho,sigma,shrink,cap,scale,dV,pow2,freeze,log_path,placement_path
24,24,4,6,6,150,9,25,6,948,980938,0,YES,25,1,8,342,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/logs/multicol_24x24_K4_T_6.log,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/placement24_Col_4_T_6.txt
24,24,4,6,7,150,9,25,6,948,980938,0,YES,25,1,8,359,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/logs/multicol_24x24_K4_T_7.log,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/placement24_Col_4_T_7.txt
24,24,4,6,8,150,9,25,6,948,980938,0,YES,25,1,8,358,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/logs/multicol_24x24_K4_T_8.log,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/placement24_Col_4_T_8.txt
24,24,4,6,9,150,7,19,9,940,973732,0,YES,19,0,9,403,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/logs/multicol_24x24_K4_T_9.log,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/placement24_Col_4_T_9.txt
24,24,4,6,10,150,1,2,10,938,938160,0,YES,2,0,10,321,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/logs/multicol_24x24_K4_T_10.log,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/placement24_Col_4_T_10.txt
24,24,4,6,11,150,0,1,11,938,938000,0,YES,1,0,11,320,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/logs/multicol_24x24_K4_T_11.log,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/placement24_Col_4_T_11.txt
24,24,4,6,12,150,1,1,11,938,938000,0,YES,1,0,12,325,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/logs/multicol_24x24_K4_T_12.log,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/placement24_Col_4_T_12.txt
24,24,4,6,13,150,0,1,11,938,938000,0,YES,1,0,13,318,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/logs/multicol_24x24_K4_T_13.log,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/placement24_Col_4_T_13.txt
24,24,4,6,14,150,0,1,11,938,938000,0,YES,1,0,14,322,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/logs/multicol_24x24_K4_T_14.log,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/placement24_Col_4_T_14.txt
24,24,4,6,15,150,1,1,11,938,938000,0,YES,1,0,15,332,NA,NA,soft,0.9,1.0,0.3,3.0,2.0,2.0,0.3,0.8,0.9,64,1000,1,1,1,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/logs/multicol_24x24_K4_T_15.log,results_multicol_24x24_20251122_210908/K4_24x24_T6-15/placement24_Col_4_T_15.txt
