M,H,K,h_prime,T,rounds_total,runtime_sec,last_round,last_maxL,last_HPWL_eq,last_HPWL_w,last_WNS_T,meet_T,first_meet_T_round,final_Tprime,avg_solve_ms,log_path,placement_path
32,32,4,8,8,150,1,58,8,504,633282,0,YES,58,NA,20.6057,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_8.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_8.txt
32,32,4,8,9,150,1,58,8,504,633282,0,YES,58,NA,18.4122,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_9.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_9.txt
32,32,4,8,10,150,1,58,8,504,633282,0,YES,58,NA,17.089,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_10.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_10.txt
32,32,4,8,11,150,1,44,11,488,588190,0,YES,44,NA,17.0198,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_11.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_11.txt
32,32,4,8,12,150,1,27,12,482,540462,0,YES,27,NA,23.0282,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_12.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_12.txt
32,32,4,8,13,150,0,26,13,478,515016,0,YES,26,NA,20.172,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_13.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_13.txt
32,32,4,8,14,150,0,5,14,476,480106,0,YES,5,NA,18.5363,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_14.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_14.txt
32,32,4,8,15,150,0,5,14,476,480106,0,YES,5,NA,19.0203,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_15.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_15.txt
32,32,4,8,16,150,1,5,14,476,480106,0,YES,5,NA,18.8532,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_16.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_16.txt
32,32,4,8,17,150,0,5,14,476,480106,0,YES,5,NA,22.549,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_17.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_17.txt
32,32,4,8,18,150,0,8,14,476,480320,0,YES,8,NA,18.0263,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_18.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_18.txt
32,32,4,8,19,150,0,12,14,476,479840,0,YES,12,NA,17.8561,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_19.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_19.txt
32,32,4,8,20,150,0,1,20,472,472000,0,YES,1,NA,24.8805,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/logs/multicol_32x32_K4_T_20.log,results_multicol_32x32_20251123_124733/K4_32x32_T8-20/placement32_Col_4_T_20.txt
