M,H,T,rounds_total,total_runtime_sec,last_round,last_maxL,last_HPWL_eq,last_HPWL_w,last_WNS_T,meet_T,first_meet_T_round,init_Tprime,tighten_steps,final_Tprime,min_maxL,round_of_min,max_maxL,round_of_max,avg_solve_ms,last_solve_ms,last_picked,alpha,eta,gamma,beta,sigma,shrink,cap,scale,dV,pow2,freeze,log_path,placement_path,tprime_path
16,8,8,150,24,55,8,1072,1303231,0,YES,55,16,2,10,8,55,44,54,438.737,434.895,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_8.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_8.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_8.txt
16,8,9,150,24,55,8,1072,1303231,0,YES,55,16,2,10,8,55,44,54,432.692,430.756,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_9.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_9.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_9.txt
16,8,10,150,26,55,8,1072,1303231,0,YES,55,16,2,10,8,55,44,54,475.198,442.879,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_10.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_10.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_10.txt
16,8,11,150,25,57,8,1072,1292240,0,YES,57,16,2,11,8,57,38,35,438.460,427.925,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_11.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_11.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_11.txt
16,8,12,150,19,41,12,1050,1223741,0,YES,41,16,1,12,12,41,38,35,455.759,422.255,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_12.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_12.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_12.txt
16,8,13,150,14,32,13,1046,1119216,0,YES,32,16,1,13,13,32,32,29,430.646,418.664,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_13.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_13.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_13.txt
16,8,14,150,3,7,14,1044,1047984,0,YES,7,16,1,14,14,7,20,1,431.672,432.42,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_14.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_14.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_14.txt
16,8,15,150,2,5,15,1044,1047816,0,YES,5,16,0,16,15,5,20,1,433.803,460.409,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_15.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_15.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_15.txt
16,8,16,150,2,5,15,1044,1047816,0,YES,5,16,0,16,15,5,20,1,429.272,426.676,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_16.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_16.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_16.txt
16,8,17,150,3,7,15,1044,1048328,0,YES,7,17,0,17,15,7,20,1,431.990,437.693,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_17.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_17.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_17.txt
16,8,18,150,1,2,18,1040,1040324,0,YES,2,18,0,18,18,2,20,1,412.665,425.878,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_18.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_18.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_18.txt
16,8,19,150,1,2,18,1040,1040144,0,YES,2,19,0,19,18,2,20,1,414.320,429.386,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_19.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_19.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_19.txt
16,8,20,150,0,1,20,1040,1040000,0,YES,1,20,0,20,20,1,20,1,395.533,395.533,0,0.9,1.0,0.3,3.0,0.8,0.9,64,1000,1,1,1,results_soft_20251030_135804/soft_16x8_T8-20/logs/soft_16x8_T_20.log,results_soft_20251030_135804/soft_16x8_T8-20/placement16x8_Col_1_T_20.txt,results_soft_20251030_135804/soft_16x8_T8-20/tprime_evolution_soft_16x8_T_20.txt
