# T_prime evolution (target T=12)
type,round,T_prime,T_target,maxL,WNS_Tprime,WNS_T,picked,HPWL_eq,HPWL_w,solve_ms,old_T_prime,new_T_prime,sigma_maxL,shrink_val
round,1,16,12,20,-4,-8,6,1040,1040000,402.293,,,,
round,2,16,12,18,-2,-6,6,1040,1041332,415.601,,,,
round,3,16,12,18,-2,-6,6,1040,1043528,433.214,,,,
round,4,16,12,18,-2,-6,3,1042,1046626,421.704,,,,
round,5,16,12,15,1,-3,0,1044,1047816,420.647,,,,
tighten,5,,,,,,,,,,16,12,,15
round,6,12,12,15,-3,-3,6,1044,1047816,412.255,,,,
round,7,12,12,18,-6,-6,8,1042,1048520,439.379,,,,
round,8,12,12,18,-6,-6,8,1042,1050373,918.998,,,,
round,9,12,12,14,-2,-2,6,1044,1052533,450.819,,,,
round,10,12,12,18,-6,-6,8,1042,1054274,449.016,,,,
round,11,12,12,20,-8,-8,8,1042,1057023,449.236,,,,
round,12,12,12,26,-14,-14,10,1058,1060937,447.879,,,,
round,13,12,12,14,-2,-2,6,1044,1064721,456.964,,,,
round,14,12,12,20,-8,-8,10,1040,1066679,454.294,,,,
round,15,12,12,26,-14,-14,10,1058,1071173,608.021,,,,
round,16,12,12,14,-2,-2,6,1044,1078735,424.282,,,,
round,17,12,12,14,-2,-2,6,1044,1082323,679.749,,,,
round,18,12,12,20,-8,-8,10,1040,1084831,429.313,,,,
round,19,12,12,26,-14,-14,10,1058,1089516,426.76,,,,
round,20,12,12,14,-2,-2,6,1044,1100189,420.269,,,,
round,21,12,12,14,-2,-2,6,1044,1104704,483.271,,,,
round,22,12,12,32,-20,-20,11,1069,1106881,423.458,,,,
round,23,12,12,32,-20,-20,11,1069,1111911,420.413,,,,
round,24,12,12,26,-14,-14,10,1058,1117435,440.744,,,,
round,25,12,12,32,-20,-20,12,1098,1125073,435.223,,,,
round,26,12,12,14,-2,-2,6,1044,1136327,451.862,,,,
round,27,12,12,14,-2,-2,6,1044,1140858,422.47,,,,
round,28,12,12,20,-8,-8,10,1040,1143798,426.96,,,,
round,29,12,12,26,-14,-14,10,1058,1151688,467.231,,,,
round,30,12,12,32,-20,-20,12,1096,1154290,430.213,,,,
round,31,12,12,13,-1,-1,6,1046,1169487,421.019,,,,
round,32,12,12,13,-1,-1,6,1046,1173868,428.279,,,,
round,33,12,12,20,-8,-8,6,1046,1176842,443.44,,,,
round,34,12,12,20,-8,-8,6,1046,1182104,429.31,,,,
round,35,12,12,38,-26,-26,14,1156,1184763,438.453,,,,
round,36,12,12,32,-20,-20,12,1096,1192097,426.943,,,,
round,37,12,12,26,-14,-14,8,1066,1202104,428.997,,,,
round,38,12,12,38,-26,-26,14,1160,1206811,436.807,,,,
round,39,12,12,20,-8,-8,6,1046,1217341,423.572,,,,
round,40,12,12,13,-1,-1,3,1048,1222055,424.526,,,,
round,41,12,12,12,0,0,0,1050,1223741,422.255,,,,
