# round,T_prime,maxL,WNS(T'),WNS(T),picked,HPWL_eq,HPWL_w,solve_ms
1,17,20,-3,-12,6,472,472000,23.1441
2,17,20,-3,-12,6,472,472450,17.2922
3,17,20,-3,-12,6,472,475548,17.4166
4,17,20,-3,-12,6,472,477228,17.5586
5,17,14,3,-6,0,476,480106,16.7954
6,12,14,-2,-6,6,476,480106,16.7663
7,12,15,-3,-7,6,476,480900,16.6814
8,12,20,-8,-12,10,472,482706,17.4104
9,12,16,-4,-8,10,474,485534,17.668
10,12,14,-2,-6,6,476,491230,16.7315
11,12,15,-3,-7,6,476,492056,77.4406
12,12,14,-2,-6,6,476,495304,16.9385
13,12,15,-3,-7,6,476,496306,16.9279
14,12,15,-3,-7,6,476,500128,16.9993
15,12,15,-3,-7,6,476,501730,16.9994
16,12,16,-4,-8,10,474,503866,17.6567
17,12,16,-4,-8,10,474,506810,17.6723
18,12,29,-17,-21,9,490,511140,17.8647
19,12,15,-3,-7,6,476,515010,17.4007
20,12,29,-17,-21,8,490,517719,17.9929
21,12,15,-3,-7,6,476,526444,16.9231
22,12,15,-3,-7,6,476,530356,17.0982
23,12,13,-1,-5,6,478,531126,17.14
24,12,13,-1,-5,6,478,534350,17.4108
25,12,13,-1,-5,6,478,535576,17.7265
26,12,22,-10,-14,10,474,537292,17.8727
27,12,12,0,-4,0,482,540462,16.8032
28,11,12,-1,-4,8,482,540462,16.7619
29,11,22,-11,-14,11,474,541826,17.7343
30,11,12,-1,-4,8,482,549643,16.6808
31,11,12,-1,-4,8,482,552619,16.8518
32,11,12,-1,-4,8,482,554880,17.1455
33,11,12,-1,-4,8,482,557423,16.7613
34,11,12,-1,-4,8,482,558456,16.9553
35,11,12,-1,-4,8,482,562069,16.7436
36,11,12,-1,-4,8,482,562730,16.7571
37,11,16,-5,-8,11,480,564679,21.5731
38,11,12,-1,-4,8,482,568058,16.8927
39,11,20,-9,-12,11,488,571054,17.5655
40,11,12,-1,-4,4,485,578668,17.0123
41,11,20,-9,-12,6,492,579472,17.2315
42,11,16,-5,-8,6,484,584089,17.347
43,11,12,-1,-4,4,485,586257,16.839
44,11,11,0,-3,0,488,588190,17.0443
45,10,11,-1,-3,10,488,588190,17.2771
46,10,12,-2,-4,10,485,589427,16.8937
47,10,16,-6,-8,11,484,592477,17.1839
48,10,11,-1,-3,10,488,596010,16.7485
49,10,11,-1,-3,10,488,601488,16.5952
50,10,11,-1,-3,10,488,602624,16.4353
51,10,29,-19,-21,11,488,604811,17.305
52,10,14,-4,-6,11,489,608538,16.8927
53,10,29,-19,-21,10,492,616477,16.8276
54,10,14,-4,-6,6,497,625223,17.3861
55,10,11,-1,-3,5,496,628324,17.0202
56,10,11,-1,-3,5,496,630546,17.8992
57,10,11,-1,-3,5,496,631366,16.7115
58,10,8,2,0,0,504,633282,16.923
