M,H,T,rounds_total,total_runtime_sec,last_round,last_maxL,last_HPWL_eq,last_HPWL_w,last_WNS_T,meet_T,first_meet_T_round,init_Tprime,tighten_steps,final_Tprime,min_maxL,round_of_min,max_maxL,round_of_max,avg_solve_ms,last_solve_ms,last_picked,alpha,eta,gamma,beta,sigma,shrink,cap,scale,dV,pow2,freeze,log_path,placement_path,tprime_path
8,8,8,150,1,58,8,504,633282,0,YES,58,17,3,10,8,58,29,18,18.516,16.3171,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_8.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_8.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_8.txt
8,8,9,150,1,58,8,504,633282,1,YES,58,17,3,10,8,58,29,18,19.073,16.3872,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_9.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_9.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_9.txt
8,8,10,150,1,58,8,504,633282,2,YES,58,17,3,10,8,58,29,18,19.936,16.8256,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_10.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_10.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_10.txt
8,8,11,150,1,44,11,488,588190,0,YES,44,17,2,11,11,44,29,18,18.449,16.2892,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_11.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_11.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_11.txt
8,8,12,150,0,27,12,482,540462,0,YES,27,17,1,12,12,27,29,18,23.258,19.3226,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_12.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_12.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_12.txt
8,8,13,150,1,26,13,478,515016,0,YES,26,17,1,13,13,26,26,24,17.799,17.5577,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_13.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_13.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_13.txt
8,8,14,150,0,5,14,476,480106,0,YES,5,17,0,17,14,5,20,1,30.154,73.413,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_14.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_14.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_14.txt
8,8,15,150,0,5,14,476,480106,1,YES,5,17,0,17,14,5,20,1,19.321,16.9435,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_15.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_15.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_15.txt
8,8,16,150,0,5,14,476,480106,2,YES,5,17,0,17,14,5,20,1,18.849,17.6009,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_16.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_16.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_16.txt
8,8,17,150,0,5,14,476,480106,3,YES,5,17,0,17,14,5,20,1,18.235,16.5972,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_17.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_17.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_17.txt
8,8,18,150,1,8,14,476,480320,4,YES,8,18,0,18,14,8,20,1,18.837,17.1846,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_18.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_18.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_18.txt
8,8,19,150,0,12,14,476,479840,5,YES,12,19,0,19,14,12,20,1,18.220,17.2524,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_19.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_19.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_19.txt
8,8,20,150,0,1,20,472,472000,0,YES,1,20,0,20,20,1,20,1,24.122,24.1215,0,0.50,0.50,0.40,3.0,0.85,0.92,8,1000,1,1,1,results_soft_20251123_122009/soft_8x8_T8-20/logs/soft_8x8_T_20.log,results_soft_20251123_122009/soft_8x8_T8-20/placement8x8_Col_1_T_20.txt,results_soft_20251123_122009/soft_8x8_T8-20/tprime_soft_8x8_T_20.txt
