[APT-ages+] m=8 h=8 n=64 T=8 v=3 K0=64
[SpanT] window sanity check passed
[DP] L=0 states=1 -> next=1 | Kcur=64 retries=0 | pressure=0 avg/key=1 | cand=8 truncK=0 blk_oc=7 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=1 states=1 -> next=2 | Kcur=64 retries=0 | pressure=0 avg/key=1 | cand=8 truncK=0 blk_oc=6 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=2 states=2 -> next=3 | Kcur=64 retries=0 | pressure=0 avg/key=1 | cand=16 truncK=0 blk_oc=12 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=3 states=3 -> next=5 | Kcur=64 retries=0 | pressure=0 avg/key=1.2 | cand=24 truncK=0 blk_oc=17 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=4 states=5 -> next=7 | Kcur=64 retries=0 | pressure=0 avg/key=1.42857 | cand=48 truncK=0 blk_oc=33 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=5 states=7 -> next=11 | Kcur=64 retries=0 | pressure=0 avg/key=2.09091 | cand=80 truncK=0 blk_oc=52 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=6 states=11 -> next=15 | Kcur=64 retries=0 | pressure=0 avg/key=3.2 | cand=184 truncK=0 blk_oc=116 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=7 states=15 -> next=22 | Kcur=64 retries=0 | pressure=0 avg/key=5.5 | cand=384 truncK=0 blk_oc=230 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=8 states=22 -> next=28 | Kcur=64 retries=0 | pressure=0 avg/key=9.92857 | cand=967 truncK=0 blk_oc=564 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=9 states=28 -> next=38 | Kcur=64 retries=0 | pressure=0 avg/key=17.3684 | cand=2222 truncK=0 blk_oc=1234 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=10 states=38 -> next=48 | Kcur=64 retries=0 | pressure=0.0857976 avg/key=30 | cand=5269 truncK=206 blk_oc=2868 blk_win=0 blk_tL=0 blk_tU=0
[DP] L=11 states=48 -> next=63 | Kcur=64 retries=0 | pressure=0.112018 avg/key=37.5238 | cand=11490 truncK=604 blk_oc=6098 blk_win=0 blk_tL=0 blk_tU=0
